CHROM	BIN_START	N_SNPS	TajimaD
8	116800000	44	-0.249278
8	116810000	47	0.742695
8	116820000	43	1.07752
8	116830000	68	0.723068
8	116840000	48	-0.511005
8	116850000	44	-0.685704
8	116860000	51	-0.805394
8	116870000	60	-1.08772
8	116880000	52	-0.970504
8	116890000	71	-0.842539
8	116900000	68	0.478927
8	116910000	68	0.750273
8	116920000	69	0.250738
8	116930000	52	0.806382
8	116940000	34	-0.122874
8	116950000	32	-1.11548
8	116960000	32	-0.415934
8	116970000	30	-0.664178
8	116980000	32	-0.0396804
8	116990000	37	-0.386209
8	117000000	32	0.443119
8	117010000	53	-0.0292125
8	117020000	44	0.0558162
8	117030000	56	-0.971306
8	117040000	38	-0.189058
8	117050000	43	-0.532942
8	117060000	39	-0.399429
8	117070000	58	-0.521911
8	117080000	49	-1.04772
8	117090000	55	-0.872575
8	117100000	56	-0.802391
8	117110000	39	-0.548019
8	117120000	43	-1.06251
8	117130000	21	-1.13205
8	117140000	31	-1.01967
8	117150000	51	-0.00383694
8	117160000	48	-0.742732
8	117170000	43	0.360128
8	117180000	35	-0.840265
8	117190000	28	-0.543939
8	117200000	55	0.0718729

Mean  -0.32672016439024393
Standard Deviation  0.622553184268965
