CHROM	BIN_START	N_SNPS	TajimaD
3	12350000	38	-0.665554
3	12360000	38	-1.51248
3	12370000	24	-0.686774
3	12380000	32	-1.29526
3	12390000	33	-0.740782
3	12400000	56	-0.103483
3	12410000	30	-1.08594
3	12420000	43	-0.581991
3	12430000	48	-0.739686
3	12440000	60	0.257745
3	12450000	49	0.0362204
3	12460000	51	-0.180951
3	12470000	62	-0.669135
3	12480000	65	-0.714687
3	12490000	72	-1.07666
3	12500000	60	-1.00392
3	12510000	58	-0.655086
3	12520000	65	-0.506865
3	12530000	57	-0.602042
3	12540000	46	-1.21546

mean -0.68713953
standard deviation 0.447988945428153
