CHROM	BIN_START	N_SNPS	TajimaD
10	112750000	42	-0.631239
10	112760000	41	-0.988352
10	112770000	33	-0.535102
10	112780000	66	0.614808
10	112790000	56	0.142729
10	112800000	28	-1.45141
10	112810000	35	-0.425368
10	112820000	43	-0.389396
10	112830000	67	-1.02996
10	112840000	42	-0.54341
10	112850000	45	-1.15494
10	112860000	36	-1.39562
10	112870000	49	-0.384912
10	112880000	35	-0.388451
10	112890000	47	-1.15016
10	112900000	65	-1.05103
10	112910000	74	-0.0480986
10	112920000	48	-0.818869
10	112930000	35	-0.130502
10	112940000	45	-0.676947
10	112950000	58	0.474654
10	112960000	68	0.74374
10	112970000	54	-0.49019
10	112980000	68	-0.776514
10	112990000	48	-1.0684
10	113000000	39	-0.787018

Mean  -0.5515368307692308
Standard Deviation  0.5825875773677917
